品名	单位	价格
米饭（碗）	份	3
手擀面	份	10
土家腊肉炖土豆	份	68
合渣炖腊肉	份	58
土家扣肉	份	52
富硒小土豆炕腊肉	份	48
渣海椒炒腊肉	份	42
清炒恩施高山菜	份	28
蕨菜炒腊肉	份	45
土家烧饼	份	8/个
炕土豆	份	15
合渣豆腐渣	份	22
腊肉炖萝卜汤	份	38
土家酸汤鱼	份	78
土家腊肉炒饭	份	25
苞谷粑	个	6
铁锅炖大鹅	份	168
地锅鸡	份	158
铁锅炖排骨	份	148
杂鱼一锅鲜	份	138
爆炒腰花	份	58
农家小炒肉	份	48
京酱肉丝	份	42
干锅有机花菜	份	38
蒜蓉油麦菜	份	22
清炒时蔬	份	18
凉拌黄瓜	份	16
麻酱凉拌豆角	份	20
玉米贴饼	份	10
手工馒头	份	8
杂粮窝头	份	6
紫菜蛋花汤	份	18
玉米糁粥	份	12
临时商品	份	100
酒水	份	20
